word,clue
axis,Graph line
recipe,"Family secret, perhaps"
arles,Van Gogh painted here
dec,Calendar abbr.
faqs,Recommended reading for www newbies
regatta,"Meet at the river, perhaps"
nerts,"""Phooey!"""
stars,Planetarium display
imo,Texter's P.O.V. preceder
sods,"Patches, as a fairway"
blas,San ___ (Caribbean gulf)
sores,Tender spots
acts,Fifth book of the New Testament
eats,Grub
ethanes,Some soil contaminants
splay,"Spread, as the legs"
buoy,Channel marker
odds,10:1 or 3:2 at a racetrack
insana,Finance reporter Ron
cigs,"Marlboros, e.g., for short"
hier,"Yesterday, to Yves"
senor,Madrid mister
esther,"Book of the Bible in which the word ""God"" never appears"
inlets,Mooring spots
caster,Film V.I.P.
aspen,Tree that can survive forest fires
goren,"""Bridge Complete"" author"
lis,Fleur-de-___
asps,Nasty vipers
dday,Operation time
eno,"He said that ambient music ""must be as ignorable as it is interesting"""
reves,Nimes dreams
reheats,Puts back in the oven
angus,Beef type
wes,Montgomery of jazz
ovals,Flattened circles
nay,"""Uh-uh,"" formally"
ogles,Looks lasciviously
sheen,Radiance
wilts,Goes limp
ems,Rescue inits.
abcs,Fundamentals
weed,Marijuana
stoops,Places to sit
teds,"Dr. Seuss, informally, and others"
tees,Little props
enos,Baseball Hall-of-Famer Slaughter
nadal,Winner of the most French Open singles titles
pcbs,Chem. pollutants
elal,Israeli airline
xis,Greek letters
adler,Chicago's ___ Planetarium
ripen,Flower
inject,"Administer, as a shot"
dos,Uno y uno
albs,Priestly robes
ingots,They're full of bullion
cruiser,Black-and-white
rey,King: Sp.
beaker,Chemist's container
impedes,Stymies
oer,Poetic preposition
remind,Not let forget
adios,"Sonora ""so long"""
setter,Passer and blocker's teammate
omits,Drops
foams,Gillette products
stoned,Ripped
misery,1990 Kathy Bates film
paling,Picket fence
roxy,Classic theater name
olsen,Twin Mary-Kate or Ashley
noticed,Observed
peen,End of a hammer
enow,"Poetic ""plenty"""
robs,Steals
axed,Fired
oxen,The yoke's on them
regs,Rules and ___
endin,Finish with
upmy,"""Nothing ___ sleeve"""
orion,Hunter in the night sky
mymy,"""Well, I declare!"""
gifts,See 28-Across
crabs,Curmudgeons
physics,Subject with force
orbs,Shelley's eyes
ages,Mighty long time
amor,Lover boy?
tsos,General ___ chicken
une,A abroad
arenas,Concert locales
ssns,I.R.S. IDs
sees,Grasps
mens,Store department with jackets and ties
rent,Monthly check
pms,Canadian chiefs
tactual,Touch-related
cased,Checked out before robbing
encs,Abbr. at the bottom of a business letter
sas,Flier to Bergen
noes,Disappointing R.S.V.P.s
hms,Abbr. for the Prince of Wales
spas,Luxury resort amenities
slicers,Kitchen gadgets
natal,Kind of chart
dias,Domingo y lunes
crested,Like a cardinal
ive,"""From what ___ seen ..."""
troyes,City on the Seine upstream from Paris
cheeks,"""Rosy"" things"
acity,"""___ on a hill cannot be hidden"": Matt. 5:14"
dray,Cart for heavy loads
lobos,Los ___
waits,Stands by
obgyns,"Delivery specialists, for short"
frozen,Like some wages and wastelands
leery,Smelling a rat
phials,Ye olde apothecary bottles
elal,Israeli airline
tried,"Handled, as a case"
ohboy,Cry of delight
aces,Bullets
antic,Shenanigan
corral,Rodeo locale
dts,Drunk's problem
basks,Soaks in the sun's rays
relives,"Is in primal therapy, e.g."
ing,Dutch financial giant
palsy,Very friendly
soy,Sushi sauce
agees,1958 Pulitzer-winning novelist and family
nested,Like many measuring cups and spoons
gents,Fellows
roosts,Settles for the night
reds,Ruby and scarlet
lateral,Alternative to a forward pass
caner,Patio furniture maker
oars,Wherry equipment
email,'Net letters
roses,Flowers on trellises
tbs,CNN parent co.
reshoes,Does some farrier's work on
borders,See 34-Across
seer,"Palmist, e.g."
heated,Very passionate
linus,"Second pope, following St. Peter"
soy,A bean
stony,Kind of silence
emigre,"Baryshnikov, e.g."
begs,Has a hand out
eaved,Having hangovers?
teddy,Victoria's Secret purchase
sally,Clever remark
eyes,"""Mona Lisa"" features that ""follow"" the viewer"
bins,Used bookstore containers
repoman,Car tower
tal,Chess champ Mikhail
erected,Put up
rene,Thinker Descartes
intl,Not dom.
often,Habitually
hgwells,The Father of Science Fiction
agts,See 13-Down
denim,"Material in a ""Canadian tuxedo"""
edasner,"""The Mary Tyler Moore Show"" co-star"
ulnas,Radii neighbors
gnus,Wildebeests
phones,"Items in a ""bank"""
authors,Creates
oars,Boaters' implements
anted,Chipped in
neer,Literary adverb
key,Florida island
usopen,Major event in golf or tennis
islands,Christmas and Easter
solaced,Gave comfort
news,Tidings
ennui,Ho-hum feeling
sids,Caesar and others
adeer,"""Doe, __, a female ?à"""
jaws,Vise parts
rests,Observes the Sabbath
peony,Flashy flower
smirks,"""Told ya so!"" looks"
issues,Personal problems
qantas,Airline with a kangaroo logo
ideas,Bean sprouts?
inf,"Gershwin's ""Concerto ___"""
regal,Grand
bios,They sometimes accompany photos
its,"""___ complicated"""
mynahs,Chatty ones
reb,Orthodox Jewish honorific
pulls,Plays tug of war
aver,Declare
sty,Slop spot
scaler,Fishmonger's tool
deli,___ meat
meteor,One seen in a shower
tows,Triple-A jobs
onor,___ about (around)
tors,Rocky peaks
med,Kind of school
bed,Crash site?
oles,Shouts to toreadors
daly,"Tyne of ""Cagney & Lacey"""
tikis,Polynesian carvings
paper,Tribune or Post
dior,A-line creator
starter,Provider of track shots?
evens,"2, 4, 6, 8, 10, etc."
ensue,Come next
acacias,Knobthorns and wattle trees
sods,Plot cover-ups?
desi,Lucy's husband or son
taney,"U.S. Chief Justice, 1936-65"
baby,"Word before the starts of 16-, 36- and 58-Across and 10-, 14- and 33-Down"
lawyer,"Nicholson role in ""Easy Rider"""
disc,Piece in the game Othello
sty,Dump
merry,Gay
texts,Messages with emojis
asks,Poses posers
ass,Bozo
nous,Entre ___
eroded,"Eaten away, like the first words of 17-, 31-, 48- and 65-Across in order?"
ural,___ Mountains (edge of Asia)
cokes,Soft drink options
orbited,Circled
delta,Silty spot
blooms,Flourishes
obs,"Delivery room docs, for short"
akitas,Husky cousins
choler,Temper
read,Try for a part
japes,Makes sport of
enesco,"""Romanian Rhapsodies"" composer"
ends,Crispy brisket bits
mas,"More, in Mexico"
barry,"Host of 1950's TV's ""Twenty-One"""
clamor,Hubbub
spreads,Peanut butter and jelly
napped,Was out for a bit
ind,"Like Bach's ""Magnificat"""
ardor,Vim
dev,"Actor Patel of ""Slumdog Millionaire"""
luted,Played some dulcet tones
ssns,W-2 IDs
eddy,Whirl
paris,Home of Chanel and Cartier
aced,Served past
deut,Old Test. book
vital,Key
ypres,Belgian town in W.W. I fighting
artists,Some colony members
tds,"Parts of bowls, for short"
aldens,Pilgrims John and Priscilla
shears,Clips
endrun,Evasive maneuver
its,"W. C. Fields film ""___ a Gift"""
pees,Supply center?
pawed,Wasn't gentle with
finney,Albert with four Best Actor nominations
usual,"Bar order, with ""the"""
reade,"""The Cloister and the Hearth"" author"
enos,Book in the Book of Mormon
mosher,One in a pit at a concert
semis,Round of four
noted,Eminent
evades,Weasels out of
replica,Facsimile
minty,Like many toothpastes
cupids,Figures on some Valentine's Day cards
king,Double-decker checker
etudes,Practice pieces
ogres,Mythical man-eaters
words,See 26-Across
altos,Some saxophones
eros,Cupid
layer,___ cake
belay,"Cease, imperatively"
viral,How some YouTube videos go
ever,Penultimate fairy tale word
sty,Farm shelter
edibles,Viands
esther,Handel oratorio about a biblical woman
seer,"Professor Trelawney in the Harry Potter books, e.g."
ebay,Online bazaar
steps,Manual series
tudor,Henry VII's house
awoken,"Disturbed, maybe"
fins,$5 bills
aerated,"Turned, as topsoil"
univac,First computer to predict a U.S. election outcome
amos,Book after Joel
piggy,Little digit
abdomen,Insect segment
sess,Legis. meeting
heels,Follows closely
baas,Meadow murmurs
arks,Clumsy boats
sting,What aftershave can do
tres,"""___ magnifique!"""
dominos,"Restaurant with a ""playful"" name"
oles,Cheers at a futbol match
etoiles,Concern of astronomes
tanager,Relative of the honeycreeper
fees,Airfare add-ons
kolas,Tropical nuts
scopes,Checks (out)
mentor,Guide
rely,Bank
pis,Geometry symbols
odor,Something picked up in a gym
lycees,Secondary schools in France
leer,Wanton look
unto,Golden rule word
uncap,Flip a top off
ubolts,Curved fasteners
reprise,Longtime record label of Frank Sinatra
keats,"Subject of Shelley's ""Adonais"""
vowed,Gave one's parole
into,Infatuated with
gats,Saturday night specials
alerted,Tipped off
odors,Smells
halter,Back-baring top
experts,Pros
tkos,Boxing stats
edits,Adds or deletes text
teems,Swarms
hirer,Caterer's need
dense,Crowded
rene,France's ___ Coty
hen,Layer of farmland?
pens,Desk set
dudes,Dandies
acres,The National Mall has more than 300 of them
gasps,Oohs and aahs
glares,"Expresses anger, in a way"
seven,Brad Pitt thriller
ams,Classified times: Abbr.
gets,Understands
seating,Usher's concern
doled,Parceled (out)
eaten,Consumed
lusty,Full of vigor
mantels,Spots for Christmas decorations
rued,Was sorry about
limos,Stars move in them
orts,Scraps
dos,Heading for the first of two columns
mgs,Bygone sports cars
sits,Rests
debug,Free of errors
nits,Immature parasites
raceway,Drag locale
swiped,"Ran through, as a credit card"
aplus,Unbeatable mark
dds,One whose office has an opening to fill?: Abbr.
dryer,Clothesline alternative
oms,Meditation mantras
sss,Natl. registry org.
gary,NW Indiana city
shoes,They're often underfoot
cos,"Comedian Bill, for short"
ices,"Wraps up, so to speak"
ennoble,Dignify
staffs,Mans
aretes,Mountain ridges
asps,Dangerous slitherers
jogs,Slight pushes
yds,N.F.L. stat: Abbr.
polls,Canvasses
reo,___ Speedwagon
laser,Symbol of directness
inga,Actress Swenson
kens,Kesey and Follett
inks,Signs
iter,Way of old Rome
anonyms,Unidentified people
nachos,Cheesy treats
lofty,Towering
bores,Bad sorts to be stuck talking to at a gathering
inawe,Floored
tombs,"Nickname for a Manhattan jail, with ""the"""
resp,Sued party in a legal case: Abbr.
demit,"Resign, as a job"
ssts,"Some speedsters, for short"
eng,Part of E.S.L.: Abbr.
immune,Not able to catch something
bones,Makes a fillet
unarms,Strips of weapons
nantes,Seaport on the Loire
etal,"And others, briefly"
bearer,___ of bad news
bay,Howl at the moon
int,Verb type: Abbr.
uss,___ Midway
emts,Drs. often take over for them
sins,Peccadilloes
odds,Tip sheet figures
tests,Schick et al.
cry,Break into tears
veers,Alters course
sly,Like some winks
ent,Suffix with exist
listen,Obey
aces,One-spots
desert,Leave alone
zests,Cocktail garnishes
speedy,Express
enron,Corporation in 2001 headlines
emi,U.K. record label
sirs,Business salutation
reiser,"Hunt's ""Mad About You"" co-star"
elates,Thrills
fully,Throughout
andes,Company that makes a mint
opposes,Blocks
parses,Breaks down grammatically
needy,Mendicant
timer,Kitchen counter?
fronts,"Leads, as a band"
ashen,Drained of color
eats,Puts away
hounded,Doggedly pursued
bremen,German city where Beck's beer is brewed
meals,Board
unready,"Not yet packed, say"
spites,Gets back at angrily
endo,Prefix with derm
een,Hallow ending
les,Former defense secretary Aspin
upper,Word before house or hand
deci,Numerical prefix
affairs,Business
yes,Encouraging word
ads,Things to skip
mags,"Rack purchases, briefly"
piglets,Farm newcomers
enzo,"Laura's ""La Gioconda"" lover"
ine,Carol ending?
lanes,Bucolic byways
seems,Appears
ent,Suffix with insist
zooms,Some camera lenses
semi,Big rig
sacs,Small pouches
pal,Hang (around)
iles,Guadeloupe and Martinique
alter,"Change, as a hem"
olds,"An 88, e.g."
sashes,Beauty pageant wear
elvers,"Young, transparent fish"
unrobe,Strip
ageless,Never outdated
ymcas,Some training centers
restir,Not let settle
betray,Unknowingly reveal
hades,The land down under?
glasses,They're found beside temples
runs,They're always made at home
deg,Temperature abbr.
redial,Phone button
easels,Studio items
reeds,Orchestra section
emit,Issue
ned,"___ Brooks, 1950's-60's ""Meet the Press"" host"
droned,"Spoke tediously, with ""on"""
abed,Slumbering
ides,"February 13, e.g."
locos,Nut jobs
abms,Mil. defense systems
gay,Jocund
tires,Bridgestone products
bestial,Inhuman
neared,Came close to
retail,Sell in stores
injest,Humorously
nemesis,1989 Isaac Asimov book
demme,Film director Jonathan
rear,Tale
inoil,How French fries are fried
amy,David Sedaris's comic sister
halfway,"Two-year mark, in a presidential term"
holier,More pious
tills,Money holders
vaults,Safes
types,Uses a Smith Corona
try,Give it a go
sells,Markets
timewas,"""I remember when ..."""
ross,"Clooney's ""ER"" role"
icer,Patisserie employee
tyler,Tippecanoe's mate
swing,Big Band music
grits,Breakfast serving
itmay,"""___ come to that"""
rites,Bar mitzvahs and the like
streaks,Some hair highlights
etes,"Verb with ""vous"""
fifed,Played a flute in a march
regal,Buick model
yards,Gridiron gains
redbone,Breed of hunting dog
edify,Uplift
rats,"Winston's greatest fear in ""1984"""
ades,Stand buys
ostlers,Stable work force
sister,"Artemis, to Apollo"
efs,Fluffy trio?
anger,Displease
ists,Social hangers-on
relayed,Like some messages
rent,Payment in Monopoly
its,"Letters within the theme entries that are, literally, next to nothing"
less,Minus
ares,Father of Phobos
rotary,Runaround?
deeps,"Oceans, to Longfellow"
tiered,Stacked
uses,Functions
laps,Pool exercise
exudes,Oozes
tokens,Some board game equipment
mts,Geographical abbr.
says,States
slyly,In a wily way
eos,"Wand representer, in myth"
emerge,Surface
kids,Isn't serious
motes,Small particles
nlers,"Cubbies, e.g."
ster,Suffix with pun
opels,Some General Motors cars
stpeter,Martyr of first-century Rome
peas,Row in a garden
mars,Pathfinder explored it
doses,Medicates
opus,Composer's work
sinker,Fishing item
deco,Art ___
sauls,Artist Steinberg et al.
sleds,Iditarod conveyances
limps,Walks with some difficulty
yeas,Yes votes
aplus,Perfect test grade
delilah,Old Testament temptress
postmen,Ones who are lettered?
esprits,Lively wits
erased,Now blank
oaters,Gabby Hayes films
eds,Mag. staffers
her,Self starter?
ands,Added conditions
axis,"x, y or z"
gaper,One who's starstruck
debits,Entries in red
lessons,Studies
ellis,___ Island (immigration point)
pis,Greek consonants
alices,"""___ Restaurant"" (hit 1968 album)"
steer,Take the conn
secured,Locked in
ours,Yours and mine
zaps,Nukes
floes,Results of icy breakups?
modules,Mathematical sets
desert,Hot spot
furls,"Stows, as a banner"
mersey,Liverpool's river
asps,Ancient symbols of royalty
paver,Worker with street smarts?
reune,"Get together, as grads"
docs,Test conductors
tires,A bicycle's built for two
laten,"Go past midnight, say"
beefed,Complained
less,Reduced
ions,Physics particles
fed,Sustained
suer,Plaintiff
demos,Autos for test-driving
bridal,Kind of shower
betsy,Ross the flagmaker
boas,Jungle squeezers
asps,Vile Nile creatures
enne,Non-P.C. suffix
pester,Nag
nats,Washington nine
lines,Dialogue units
beeps,Prompts on answering machines
strays,Many pound dogs
pal,Amigo
irony,It may be tragic
thor,"Loki's brother, in movies"
disarm,Render harmless
alamos,"Los ___, N.M."
enero,Page of un calendario
ales,Draft picks in pubs
asocial,Not mixing well
riots,Prison disturbances
sis,Cheer start
shatter,Go to pieces
ensue,Follow
brer,"Family member, in rural dialect"
ens,Junior officer: Abbr.
orion,Night hunter
led,Marshaled
sister,Sob ___
mynahs,Human speech mimickers
ruby,Red gem
maris,Home run champ until 1998
ibars,Bridge-builders' beams
labels,Epithets
goer,Attendee
mares,Kind of nest
lager,Steinful
saws,Toothy ones
reed,Wind element
rea,"""Citizen X"" actor"
easy,Like falling off a log
slyer,Less straightforward
pre,Game intro?
umped,Worked at home?
pays,Yields
axis,x or y
flor,Spanish bloom
irs,Letters in a return address?
sees,Gets the point
nether,Infernal
nailers,"Carpenters, at times"
axed,Cut from the payroll
kramer,"""Hipster doofus"" on ""Seinfeld"""
oed,"Time magazine's ""scholarly Everest,"" for short"
ends,Wraps up
census,Event for an enumerator
jambs,House supports
untame,Wild
slay,Wow
dyed,Not natural
rein,This pulls a bit
sited,Put in place
its,"""___ De-Lovely"" (1937 hit)"
acids,They have pH's of less than 7
jesus,"Subject of Handel's ""Messiah"""
pcs,Modern office staples
plays,"""Hamlet"" and ""Macbeth"""
slay,Leave in stitches
sty,It's a mess
gis,M-1 firers
ulcer,"Stress symptom, they say"
enlai,Chou___
seals,Shuts tightly
bimodal,Like a probability curve with two peaks
intros,Openings
leaked,"Passed illegally, maybe"
res,Point of law
notes,Student's scribbling
uss,Naval letters
bents,Leanings
canals,Notable features of Stockholm and Amsterdam
missa,___ cantata (church service)
imean,Explanation starter
ahs,Reactions of wonderment
baal,False god
rosen,1953 A.L. M.V.P.
sublets,Extended vacationers may take them
potages,Creamy soups
typos,Writers' wrongs?
unto,"""Do ___ others ..."""
dens,Trophy rooms
oval,Racetrack
meats,Vegans avoid these
oils,Protects against rust
tester,Perfumery employee
asis,Yard sale caveat
oohed,Expressed wonder
eden,Bible garden
natty,Sharply dressed
stolen,Swiped
endow,Supply (with)
incan,One conquered by Pizarro
dyer,Colorist
yogis,Some meditation teachers
ply,Practice
inca,Ancient people
lisped,Didn't speak clearly
dews,Mountain ___ (some sodas)
oater,Western
carats,Diamonds are weighed in them
acts,New Testament book
hens,Nesters
sails,Breezes (through)
endow,Provide resources for
tilts,Contests on horseback
rtes,Hwys.
factor,Ingredient
oral,Spoken
endive,French ___
teen,Tiger Beat reader
geyser,Yellowstone Park attraction
gabs,Yaks
repent,Preacher's admonition
rinks,Winter Olympics venues
minimal,Barely enough
inaline,Strung out
asked,"""Who ___ you?"""
wads,Fistfuls of money
dens,Lairs
imp,Nanny tester
edibles,Food
deadon,Exactly right
kirs,White wine cocktails
afarcry,Much removed (from)
enid,City WNW of Stillwater
newer,Built later
bikinis,Providers of limited coverage?
pests,Dennis the Menace et al.
dey,Actress Susan
sides,Two for the record
emptied,Left with nothing
insole,Shoe part
tires,Four for the road
agency,"The ""A"" of 57-Across"
ergs,Joule parts
nutsy,Cracked
inatub,Like three men of rhyme
barter,Primitive business dealing
inga,TV's Swenson
ess,Double curve
eely,Slippery
hereby,As a result of this
uris,"""Mila 18"" novelist"
opals,Pendant adornments
abes,Lincoln and others
eng,E.S.L. component: Abbr.
rebound,Carom
imo,Texter's qualifier
steps,Numbered things in a how-to manual
sassy,Fresh
emanant,"Issuing, as from a source"
non,Oui's opposite
rest,Lie down for a while
xes,Crosses (out)
relee,C.S.A. general
eros,Son of Aphrodite
eras,Pitching stats
limos,Long rides?
heathen,Infidel
orion,Neighbor of Taurus
vary,Fluctuate
isis,Memphis deity
enos,Nephew of Cain
prepay,Remit in advance
astral,Stellar
attends,Doesn't miss
ret,Emeritus: Abbr.
ambled,Sashayed
ccs,Dupes in some mailboxes
end,Cut off
clay,Adobe material
flied,Popped (out)
jeepers,"""Golly!"""
meanly,With cruelty
fed,"Put quarters in, as a meter"
scary,Blood-curdling
les,"Kelly's ""___ Girls"""
limiter,One who puts on a cap
gores,Tennessee political family
stes,Fr. holy women
spoofed,Sent up
oms,Meditation class chorus
ians,Writers Fleming and McEwan
orts,Leftovers
allen,Funny man Woody
sled,Bob in the Olympics
hayes,"Mount ___, peak 90 miles SSE of Fairbanks"
pecos,River to the Rio Grande
bistros,Casual eateries
elroy,Jetson who attends Little Dipper School
resent,Be annoyed
usopen,Links championship
enrapt,All eyes
delano,Name of a family from which Franklin Roosevelt was descended
acts,"Whence the line ""It is more blessed to give than to receive"""
obey,Be loyal to
acuter,More pronounced
entree,Way in
aahed,Oohed and ___
glass,"Flute, e.g."
unsew,Remove stitches from
orbs,Globes
smits,"Former ""N.Y.P.D. Blue"" co-star"
gabs,Talks for hours
itty,___-bitty
coats,Overlays
unesco,Paris-based grp. since 1945
ass,Long-eared beast
oafs,Buffoons
asks,Wants for a price
pays,Is worthwhile
ssts,Former fast fliers
tokens,"Wooden nickels, e.g."
winos,Grape nuts?
obsess,Focus single-mindedly on something
surfer,One participating in a new Summer Olympics sport in 2021
gokarts,Vehicles that often have unlicensed drivers
equal,Come to
sects,Spinoff groups
assay,Appraise
rnas,Protein-synthesis strands
ewers,Water pitchers
cheeses,"Gouda and Edam, e.g."
rbis,Diamond stats
error,Box score component
alerts,Warnings
founded,"Like St. Augustine, in 1565"
elater,"Bringer of good news, perhaps"
heal,Get well
estuary,"Rio de la Plata, e.g."
empire,"The ""E"" of H.R.E."
cal,Old presidential nickname
stns,Amtrak stops: Abbr.
ntests,"Blasts from the past, briefly"
efts,Newts
ignis,Flavius's fire
assents,"Nods, maybe"
teddy,Woman's undergarment
saks,Fifth Avenue retailer
pears,Compote fruit
for,Part of F.Y.I.
inner,Type of tube
moos,Cows' chorus
aral,Uzbek sea name
les,"""Au Revoir, ___ Enfants"" (1987 film)"
lessens,Drops
cling,Adhere
dietary,Like some religious laws
indies,East or West places
warns,"Yells ""Heads up!"" at"
aramis,Friend of Porthos
image,Public persona
bids,Makes an offer
emits,Gives off
lacs,Resins
rbis,"Aaron's 2,297"
atms,Bank adjuncts
enow,"Sufficiently, in poetry"
sips,Nurses
dumas,"""The Black Tulip"" author"
peals,Belfry sounds
ells,Some wings
traces,"Makes copies of, maybe"
wed,Combine
ends,Rings lack them
opeds,Some columns
shred,Fragment
sas,KLM competitor
sty,Slop trough site
irons,Best Actor of 1990
ruins,Sightseeing sight
tawny,Lion-colored
trey,It's just over 14-Across
ammeter,Current measurer
eos,"Driver of a four-horse chariot, in myth"
mor,Casablanca's country: Abbr.
lites,Some Millers
prey,Bird of ___
leaden,Heavy
suns,Goes for the bronze
tess,1979 Roman Polanski film
ritual,"Mass, for one"
isms,Doctrines
oars,Coxswain's teammates
dearme,"""Goodness!"""
jonas,___ Brothers (pop trio)
animas,Souls
debt,___ relief
rental,13-Down offering
ter,Dutch painter Gerard ___ Borch
slays,Leaves 'em rolling in the aisles
unstop,Pull a cork out of
pews,Mass seating
caps,Tube tops
tilts,Is not on the level
rtes,Itineraries: Abbr.
eros,Libido
sly,Foxy
shyster,Not one to trust
reeve,"Teller of the third tale in ""The Canterbury Tales"""
actors,Line providers
fryer,Cooking device in a fast-food restaurant
renew,Freshen
elver,Glass eel
closets,Places hangers hang
stands,Spectators' seating
seer,"Amphilochus, in Greek legend"
kal,"Far East carrier, for short"
bugsy,Crime syndicate sobriquet
trois,Number after deux
dep,Bankbook abbr.
dts,The shakes
omnis,Dodges of the 1980s
lesion,Wound
toes,They may get stepped on
esos,Those: Sp.
fuses,Becomes one
knits,"Stocking caps, e.g."
ender,Bitter-___
alers,Jays and Rays
neared,Approached
cushy,Hardly hard
defat,"Trim, as meat"
reb,"Stars and Bars soldier, informally"
red,It's seen in anger
yeas,Pro team?
oeuvres,Works
ref,Red or yellow card issuer
ryder,Mitch of 60's rock
rearend,"Collide with, in a way"
nas,"Performer with the hit 2006 album ""Hip Hop Is Dead"""
niels,Nobelist Bohr
wren,Wee warbler
inkind,Way to repay
cots,Shelter array
river,Missouri or Delaware
insist,Not yield
gps,"Car item that speaks, in brief"
tmen,Followers of tax cheats
diary,Blog predecessor
axial,Kind of symmetry
rear,"Hitchcock's ""___ Window"""
tilters,Knights in competition
okies,"Sooners, by another name"
uber,Company investing in self-driving cars
wolfs,Scarfs (down)
caen,Setting of William the Conqueror's castle
aunty,Familial nickname
tarps,Field protectors
aas,Remote inserts
end,Mobius strip's lack
geer,Grandpa Walton portrayer
sers,"Knights' titles in ""A Game of Thrones"""
lunches,Workday interrupters
yves,Designer Saint Laurent
etas,"Efficiency symbols, in physics"
okays,Sanctions
waiters,Camerieri
sides,Debaters take them
hods,Coal carriers
mess,Botch
trier,Court figure
nelsons,Holds on a mat
anti,Dissenter
rinky,___-dink
mops,Items in buckets
ells,Architects' annexes
cbers,"Truckers, perhaps"
demille,"""Carousel"" choreographer"
asserts,Puts forward
ken,Understanding
tutored,Coached
pariahs,Outcasts
enact,"Pass, as legislation"
lazed,Took it easy
pos,Neg.'s counterpart
gaslogs,Faux fireplace items
ariosos,Relatives of recitatives
cds,S. & L. offerings
jaunts,Short excursions
trader,Business person
tacos,Folded food
napier,Mathematician John who discovered logarithms
spray,Alternative to roll-on
longer,More protracted
ned,"Stephen Foster's ""Old Uncle ___"""
hiss,Villain's reception
edys,Breyers rival
red,Visibly abashed
atoms,Components of molecules
argued,Traded points
envoy,Diplomat
sapor,Sweetness or bitterness
pipets,Chemistry lab droppers
unix,Linux forerunner
logical,Intelligent
scarer,Bogeyman
sines,Trig functions
ewes,Ricotta sources
crows,Plains people
rene,Quebec's Levesque
orals,"Seniors' hurdles, maybe"
dogs,"Example, for boxers"
beiges,Seashell hues
zigs,Sidesteps
groovy,"""Cool!"""
esos,"Those, to Jorge"
deprave,Corrupt
chasms,Gorges
males,"13-Downs, e.g."
memos,Notes
avgs,Middle amts.
ninny,Goose
yer,"""___ out!"""
aquinas,The Angelic Doctor
aged,Like Scotch whisky
epees,Sporting blades
unto,Golden rule word
golems,Magical creatures in Jewish folklore
inane,Silly
lanky,Tall and lean
tarts,Fruit-filled pastries
reap,Bring in the sheaves
imac,Big name in desktops
abets,"Helps as a lookout, say"
otter,Staple of the fur trade in the 1700s-1800s
pales,Loses color
ess,Start to sob?
imo,"""You may disagree,"" to texters"
makers,Production team?
airer,Broadcaster
resow,Plant anew
cos,Trig function
gnus,Bearded animals
screwy,Eccentric
woolen,Like some 8-Downs
titos,Fuentes and Puente
sds,Old protest grp.
dial,Something people have often been told not to touch
revenge,"It's sweet, it's said"
adder,Total-itarian?
lien,Bank claim
encre,Ink for une plume
bins,Coal containers
filter,Purification aid
testy,Irritable
eras,Epochs
deny,Turn down
betsys,"""___ Wedding,"" Alan Alda film"
dopey,Youngest dwarf
cay,"Archipelago constituent, maybe"
ellis,Psychologist Havelock
angels,Little dears
deems,Considers
fed,"Greenspan's domain, with ""the"""
tinny,"Thin, as sound"
eps,"Midlength records, for short"
doves,Birds symbolizing peace
los,Preceder of Alamos or Angeles
ireful,Angry
eyed,Gave the once-over
piper,Popular airplane maker
outfor,Seeking
exes,Partners who called it quits
encyc,"Multivolume ref., usually"
reffed,Called the game
knobs,Door handles
dive,Emulate a loon
desotos,Firedome and Firesweep
tsps,Rx amts.
lags,Problems in synchronization
overeat,Gorge
decafs,Late-night beverages
digs,Archeological sites
dills,Mt. Olive offerings
dados,Carpenters' grooves
takes,Instances of filming
rsvps,Gets back (to)
abets,Encourages
phaser,"""Star Trek"" weapon"
earthy,Ribald
ashy,Wan
ours,Not just mine
narcos,Seekers of drug stores?
curs,Some strays
relax,Hang loose
iris,Eye piece
rear,Backside
baal,Semitic deity
ren,Cartoon canine
semi,Highway hauler
prisms,Dispersion devices
estas,"Spaniard's ""these"""
gts,Fast sports cars
deter,Block
trees,Panda hangouts
rids,Clears (of)
give,Turn over
bed,River bottom
rebuke,Chastise
try,Give it a go
darners,Sock menders
edens,Perfect places
bred,Raised
meshy,Like a net
pluses,Good things
nonono,Vehement rejection
sower,Spreader of seeds
limos,Wheels for big wheels
olds,Aurora producer
imsure,"""Likely story"""
emir,"Oil-rich ruler, perhaps"
rework,Overhaul
deciare,10 square meters
pen,Compose
odor,Telltale ___
clods,Clumsy sorts
eeny,"""___, meeny ..."""
bal,"Francis Poulenc's ""Le ___ masque"""
doglegs,Some links holes ... with a hint to the circled letters
elinor,"Novelist Glyn who coined ""It"" as a euphemism"
srs,Promgoers: Abbr.
derns,Actors Bruce and Laura
enero,El primer mes
dates,Postmark parts
omber,Old card game
loess,Windblown soil
hovers,Lingers watchfully
rear,"""Step to the ___:"
drs,"OBs, e.g."
lewis,Puppeteer Shari
casinos,Twenty-one places
pets,Consumers of Purina and Iams food
usual,The ___ suspects
teds,Nugent and Turner
ryder,Big name in trucks
elevens,"Cricket teams, e.g."
imps,Babysitters' challenges
class,Teacher's charges
roleos,Lumberjack contests
eccles,Book after Proverbs: Abbr.
eking,Barely making (out)
roans,Dappled horses
aster,"Sunflower, in furniture decoration"
qed,"Equivalent of ""the end"""
animal,20 Questions category
loren,Actress Sophia
ices,Chills
inarut,Bound by routine
lsts,"Craft for amphibious operations, for short"
ivory,Creamy white
icky,"Gross, in kidspeak"
elms,State trees of North Dakota and Massachusetts
